,0
0,-5.106616879306039
1,-8.009284751518521
2,-8.021589722698117
3,-8.019943533339886
4,-8.019393360435602
5,-8.019547702087873
6,-8.019528197599957
7,-8.019531616310871
8,-8.01952862004061
9,-8.02068936415873
