,0,1,2,3,4,5,6,7,8,9
0,-75.65675356187613,-75.60869129867332,-75.70582014633294,-75.6338781202932,-75.71778257576898,-75.63785930930023,-75.72595644639469,-75.63818784019065,-75.73048623917515,-75.63991120987579
1,-75.61487708985811,-75.64081608600172,-75.66449109739953,-75.67256966290743,-75.67685122073591,-75.67971663972675,-75.68199293673128,-75.68311896767446,-75.6847765912495,-75.6848436828643
2,-75.63971799465948,-75.66953913477768,-75.68192798997799,-75.67994315563156,-75.68784046061072,-75.68847232086551,-75.68434025019954,-75.67931010411891,-75.68484662003662,-75.68477349189627
3,-75.6642821899617,-75.68173430201763,-75.68003113497059,-75.68124852482988,-75.68848687258138,-75.6878876712889,-75.68647141498565,-75.68786626222182,-75.68720179807168,-75.68760540018442
4,-75.67239429266195,-75.67995633910216,-75.68116571603657,-75.69332723087854,-75.68464131445583,-75.68655010215443,-75.68699988966559,-75.68739120771188,-75.6874286966142,-75.68739308727451
5,-75.67677508785061,-75.68752113351098,-75.68847901870681,-75.68459857476269,-75.68727996670282,-75.68760079337473,-75.68744944257081,-75.68743663319945,-75.68740883557186,-75.68760852401421
6,-75.67965406244805,-75.68844440907631,-75.68762059934637,-75.68653626661555,-75.68760017280724,-75.68748679896738,-75.68743499926866,-75.68745223196825,-75.68730208613152,-75.68756032346911
7,-75.68195104939437,-75.68435498867457,-75.68647549834108,-75.68695674623096,-75.68744950960708,-75.68743487010848,-75.68755848502049,-75.68573337196429,-75.68816055291649,-75.68673390120924
8,-75.68309225095027,-75.67906209516543,-75.68783964122439,-75.68738599028808,-75.6874365183834,-75.68745237071573,-75.68570474471696,-75.6883779587079,-75.70741913342472,-75.68698933404553
9,-75.68474980215375,-75.68483830684796,-75.68720880759986,-75.68742710028324,-75.68740683053244,-75.68729884414589,-75.68816273485332,-75.70605606541969,-75.68723381932239,-75.68708165963079
