,0
0,-5.047896255864731
1,0.0
2,-0.001783230551297704
3,-0.00023861153040495155
4,-2.573773763526809e-08
5,-3.7342581855337745e-05
6,-3.2544584586116445e-05
7,-3.8566532586915165e-05
8,-3.3361419002632024e-05
9,-4.652593122563977e-05
