,0
0,-4.544074518626382
1,-8.02126951145419
2,-8.033451031586766
3,-8.031142535508142
4,-8.030731962434247
5,-8.030785801199796
6,-8.030803400518739
7,-8.030744797029564
8,-8.030805677093566
9,-8.03080966618322
