,0,1,2,3,4,5,6,7,8,9
0,-8.00627900155385,-8.01202796483439,-8.013650699047304,-8.014131720353376,-8.01428749540732,-8.01434639706219,-8.014373919993545,-8.014389088661824,-8.014398160663099,-8.014403727996202
1,-8.014004567251352,-8.014286828611194,-8.014334492498895,-8.014362071407911,-8.014382215286298,-8.014398058440992,-8.01440771394415,-8.01441165927295,-8.014412572320555,-8.014412648778409
2,-8.01428663867851,-8.014342756619971,-8.014394223310532,-8.014418490550034,-8.01442382419436,-8.014414779183044,-8.01441328536235,-8.014412787846545,-8.014412655285689,-8.014412642086926
3,-8.01433440387538,-8.014394063512812,-8.014420184151188,-8.014424587897983,-8.014420174744904,-8.014412775416954,-8.014412424091173,-8.01441257268378,-8.014412637481866,-8.014412739973501
4,-8.014361954369928,-8.014418446197547,-8.014424583332762,-8.014421135681673,-8.014414697273288,-8.014412463917049,-8.014412542925227,-8.01441281928676,-8.014412621311987,-8.014412615326798
5,-8.014382008548608,-8.014423815223871,-8.014420152280312,-8.014414681333895,-8.014412592030952,-8.014412564984315,-8.014410938748338,-8.014412602578375,-8.014412616845137,-8.014412616712756
6,-8.014397711986241,-8.01441477939999,-8.014412769987503,-8.014412462952537,-8.014412564981665,-8.014412586604692,-8.01441262632069,-8.014412617992043,-8.014412616717713,-8.014412616839456
7,-8.01440737974128,-8.014413279969057,-8.014412424535656,-8.01441254227165,-8.01441065544339,-8.01441262631175,-8.014412619407633,-8.01441261632477,-8.014412617586727,-8.014412618071802
8,-8.014411482737795,-8.014412781316102,-8.01441257229377,-8.014412821310271,-8.014412602128756,-8.01441261798979,-8.01441261632299,-8.01441261825896,-8.014412617999978,-8.01441261772359
9,-8.014412513744773,-8.014412649034906,-8.01441263652895,-8.014412621089765,-8.014412616807933,-8.014412616712919,-8.014412617585135,-8.014412617999945,-8.014412618375495,-8.014412618913225
