,0,1,2,3,4,5,6,7,8,9
0,1.2412077000044635e-08,1.818257487916407e-08,2.6208896648842418e-08,6.677925838971532e-07,7.074638254778165e-06,1.5228312634008034e-05,1.0406268998508494e-05,1.5038244136178491e-05,2.538392827489133e-06,6.550013956285738e-05
1,0.0019121930479784055,0.001144852304896915,0.0011146959308589999,0.0024647977638636576,6.687639752556152e-05,0.00012239302685657094,4.15231533423821e-06,6.888422338136024e-05,0.00015890573025245658,0.0005777040875898365
2,0.0033891863218613594,0.0006921438076190611,1.8928852114756013e-08,1.208314011178109e-07,6.316789509015373e-08,3.465678010063669e-07,2.1748814504007896e-05,2.2200676852435208e-07,9.417905886266453e-07,2.3315531788262883e-07
3,6.889598324022472e-05,2.6672091201461468e-08,1.198463864440346e-07,6.055437538066144e-07,3.4115943306745847e-07,2.7909180744245532e-08,5.389356942941959e-07,1.6580799083953934e-05,3.1193830594133942e-06,1.9405484010803775e-06
4,6.908807235816994e-05,1.2079715716551906e-07,5.40683416261345e-07,0.0006075042047442025,0.0003001072771482427,5.952411697762727e-06,1.934315434226619e-05,3.546928653008763e-07,1.4608789015824186e-05,1.0819717560808887e-09
5,1.3589878811615108e-05,1.3901504778416523e-07,4.334486242188565e-07,0.00034360971878300006,1.2741812331241628e-07,8.757973068742036e-08,4.371136136054987e-08,5.212119294449383e-08,4.301635385672853e-06,3.526556824340332e-07
6,3.933773555786502e-06,5.3245793378483295e-08,3.0580972136817763e-06,6.5461466185468e-05,8.490267766523521e-08,3.4430563423375074e-08,6.627139860825113e-07,5.077678935094809e-07,6.137857688770509e-06,2.305908260780143e-06
7,1.9552464394223534e-06,8.004979204455083e-08,3.4701858501567625e-07,1.2238535411768225e-05,4.744224311874109e-08,1.1765530828239553e-07,5.07891861900589e-07,7.779988723517577e-08,6.561147266381795e-06,5.358255249632293e-05
8,1.1396200108038101e-06,3.2993410158254515e-07,7.290967676099698e-08,1.1078536530817473e-05,1.5875182847760824e-07,5.888419067900941e-07,6.953215737736377e-08,2.0915858449654934e-05,6.223717043951638e-06,1.236640694912694e-05
9,8.492687288090398e-08,1.8533463466607262e-07,1.741273507925654e-07,1.6100183444223148e-06,4.160296001032293e-07,9.45790652906453e-07,7.034985500808943e-07,1.7950300517100004e-06,2.3044554779971804e-06,1.2888799062693579e-05
