,0
0,-2.353551117644831
1,-7.868477260534311
2,-7.883112424458398
3,-7.879923235990498
4,-7.879418462351981
5,-7.879429360120064
6,-7.879433328194792
7,-7.87942990375133
8,-7.879429696330372
9,-7.87944489395565
