,0
0,-4.65571206470701
1,0.0
2,-0.0045199622887631755
3,-0.002517852167681126
4,-0.007517179683135358
5,-0.007646959742174641
6,-0.00611103505747149
7,-0.0057743123137333485
8,-0.006546797110678457
9,-0.0023974536477621555
