1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.4,2.6,2.8,3
-35.19448499,-36.56456396,-37.70318335,-38.65788565,-39.46622485,-40.04982422,-40.64458847,-41.1683216,-41.63257243,-42.04635118,-42.416947,-43.05224752,-43.57727653,-44.01834007,-44.39206319,-44.70987991
-75.38704401,-75.36953245,-75.3313768,-75.28716148,-75.24368903,-75.31340704,-75.27517356,-75.23894555,-75.20515562,-75.17395011,-75.14532718,-75.0953982,-75.0541017,-75.01995902,-74.99162367,-74.96801627
-75.69842335,-75.68801805,-75.6539641,-75.61352763,-75.57605965,-75.54926334,-75.53098177,-75.51677228,-75.50699758,-75.50171956,-75.50084245,-75.51148326,-75.53703037,-75.57569472,-75.62597458,-75.68637671
-75.66542019,-75.64740151,-75.60948805,-75.56722242,-75.52746414,-75.57066446,-75.5453595,-75.52100418,-75.49733202,-75.47375241,-75.44949571,-75.39534352,-75.32709315,-75.23643868,-75.1149686,-74.95502588
-75.73587593,-75.73186612,-75.70386532,-75.66730915,-75.630988,-75.59507567,-75.57581305,-75.55932046,-75.54582169,-75.53537843,-75.52808349,-75.52410371,-75.53889181,-75.58311025,-75.67449693,-75.8380497
-75.69889867,-75.67739104,-75.63568745,-75.59134125,-75.55237939,-75.59735054,-75.57581979,-75.55610689,-75.53859901,-75.52380939,-75.51262196,-75.50727608,-75.54181931,-75.64822412,-75.87230642,-76.27067825
-75.73780184,-75.73729507,-75.71520803,-75.68402129,-75.65059001,-75.60104963,-75.58076906,-75.56286821,-75.54747292,-75.53415838,-75.52167911,-75.48649143,-75.38690235,-75.08546036,-74.29081564,-72.46598513
-75.71334801,-75.68913265,-75.64082532,-75.58897699,-75.54516167,-75.6021038,-75.58190758,-75.56445913,-75.55049128,-75.5408741,-75.53696614,-75.55784797,-75.66920782,-76.05588776,-77.24903184,-80.55537526
-75.73512508,-75.73641737,-75.72205921,-75.70206429,-75.67870728,-75.60299502,-75.58299463,-75.56558473,-75.55092614,-75.53873932,-75.52845846,-75.5127216,-75.52126248,-75.64815125,-76.12283651,-77.20655192
-75.72235993,-75.69831802,-75.64283528,-75.5769397,-75.51808887,-75.60344224,-75.58368739,-75.56691821,-75.55374695,-75.54458638,-75.53933854,-75.52642942,-75.35965264,-74.16399901,-68.38517354,-46.63608038
-75.73151511,-75.73166697,-75.72468194,-75.72317945,-75.72352247,-75.60379709,-75.58412084,-75.56734204,-75.55389025,-75.54416853,-75.53934861,-75.56934664,-75.8932882,-78.13777991,-90.68221558,-148.3086162
-75.72794967,-75.70735831,-75.64670629,-75.55931859,-75.46681749,-75.60393068,-75.58430886,-75.56769282,-75.55451696,-75.5447177,-75.53712914,-75.5075158,-75.32583482,-74.2861204,-67.91839767,-28.32110469
-75.72860396,-75.72451428,-75.72131438,-75.74549028,-75.79395124,-75.60413352,-75.58459028,-75.56810284,-75.55523813,-75.54661047,-75.54333018,-75.55382939,-75.32563134,-71.07331616,-33.22616132,197.3016166
-75.7308693,-75.71628005,-75.65572085,-75.54080824,-75.38307532,-75.60412321,-75.58452067,-75.56793854,-75.55477997,-75.54504046,-75.53848718,-75.55835716,-76.35279985,-88.40627649,-211.0408556,-1136.762864
