,0
0,-4.524497784624132
1,0.0
2,-0.002365208724258373
3,-6.756280809040855e-05
4,0.0
5,-4.6296496802262727e-17
6,5.398198180999404e-17
7,5.085768117269698e-16
8,4.4139677513358414e-17
9,-5.584753464477261e-06
