,0
0,-2.6746159106127294
1,-7.926104672657024
2,-7.940238913287679
3,-7.9370886049199125
4,-7.936634597875957
5,-7.936643080631363
6,-7.936734891746946
7,-7.936635383526344
8,-7.936674555368676
9,-7.936659339059652
