,0,1
0,-19.97877546664096,-40.33340410463707
1,-75.70336372700612,0.0
2,-75.67054006966694,0.0
3,-76.04105487715356,-0.20467482262448405
4,-75.71230273418348,0.0
5,-26.20504394612564,-607854.725193232
6,-75.72347612216754,0.0
7,-75.72423024592729,0.0
8,-75.72793375643728,0.0
9,-75.72753321701819,0.0
10,-75.73041550714235,0.0
11,-75.72859469936172,7.931330579697329e-08
12,-75.72873038211725,0.0
13,-75.72926647772707,2.721702581734521e-16
14,-75.72925139079405,-1.2256300184711347e-20
15,-75.726384963449,0.0
16,-75.72928587226987,0.0
17,-75.72927535515555,4.141123541101749e-15
18,-75.72791441738265,0.0
19,-75.72924738012733,-2.6846004720864163e-08
