,0,1,2,3,4,5,6,7,8,9,10
0,-8.006352957877715,-8.012131028983918,-8.013733724437914,-8.014188560525739,-8.014324302187317,-8.014370542012136,-8.014391508611181,-8.01440289431186,-8.014411285522973,-8.014412418546094,-8.014412819795753
1,-8.01637875456904,-8.014563739883194,-8.014490748637897,-8.014402448444345,-8.014405949579713,-8.014412961181023,-8.014407824922236,-8.014414868570569,-8.014403547202578,-8.014409526791193,-8.014412028863898
2,-8.014875385536895,-8.014214260212995,-8.014378604470537,-8.014434918147279,-8.01440784496823,-8.014401716849527,-8.014417989228578,-8.014418952048985,-8.014405505360266,-8.01441186209295,-8.014416050886663
3,-8.01446185957992,-8.014378073090985,-8.014451280776859,-8.014422531137468,-8.014431078318694,-8.014383604131172,-8.014414291599916,-8.014405759748136,-8.014414148987619,-8.014410133704418,-8.014414179455084
4,-8.014403936978816,-8.014400623305496,-8.014425852419112,-8.014447866324577,-8.014423894295893,-8.01440962516997,-8.014412046185532,-8.014406719663375,-8.014405103436756,-8.014415195032687,-8.014411269405551
5,-8.014404529495277,-8.014407645095725,-8.014412691140638,-8.01441136072051,-8.014414518099137,-8.014403811570409,-8.014407236317822,-8.01440453415992,-8.014406614672097,-8.014419057047666,-8.014410847719043
6,-8.014423608655257,-8.014386633766359,-8.014422759872533,-8.014424310085776,-8.014418685704161,-8.014388486476685,-8.014405696178683,-8.014407077118335,-8.014409376628137,-8.01441235145391,-8.014410182486321
7,-8.014414767823306,-8.01440933395296,-8.014413042625364,-8.014410098758784,-8.014406797525464,-8.014405574499248,-8.014415323877227,-8.01440885578356,-8.01440966333354,-8.014412488793898,-8.014412658532011
8,-8.014414922003832,-8.014425276519171,-8.014414685706754,-8.014406429586836,-8.014404667722339,-8.014406693496372,-8.014416925798294,-8.014409538390272,-8.014410694433666,-8.014412565347802,-8.014412551764817
9,-8.01442022927261,-8.014402357267858,-8.014412253632186,-8.014405138230478,-8.014406357907035,-8.014408626780982,-8.014413433000616,-8.014410685788988,-8.014406554828241,-8.01441217993566,-8.014412612603136
10,-8.014418812400598,-8.014409606012048,-8.014412834451008,-8.014412048105203,-8.014412156054364,-8.014412485938259,-8.014411844224473,-8.014412125112866,-8.014412536013461,-8.014412440506211,-8.014412641047796
