,0
0,-5.021347928596607
1,0.0
2,-0.0017449840906365813
3,-7.72011010960912e-05
4,-2.8467254307526645e-18
5,-7.871630392264678e-07
6,2.0026351605126973e-05
7,7.775892960633626e-17
8,2.1323803101934302e-05
9,-6.18139946080687e-06
