,0,1,2,3,4,5,6,7,8,9
0,-75.61796901187822,-75.56563343493006,-75.67352472315294,-75.58741357063732,-75.70246999250104,-75.58677730680903,-75.70740355663928,-75.58650184125743,-75.60790529640771,-75.58732898775938
1,-75.57435612305522,-75.59872128217273,-75.62687664932311,-75.63202255047865,-75.63950859589428,-75.63972783275852,-75.6457409132199,-75.6441754760076,-75.64652055762612,-75.64688651252168
2,-75.59718325138691,-75.64389178115641,-75.63539945622001,-75.63640711763823,-75.63971494022434,-75.6394996780539,-75.64407512771514,-75.64567944779104,-75.64585176934436,-75.64573211841162
3,-75.62611538454014,-75.63504518080265,-75.64166195254788,-75.64022326833044,-75.64138006872278,-75.66586755595172,-75.64211314213148,-75.6359024160666,-75.64569228506927,-75.64533625217756
4,-75.63142714640257,-75.612119155251,-75.64518350169523,-75.63481912724895,-75.65026089670607,-75.6506236621873,-75.66911361021829,-75.6519000058217,-75.64673347258815,-75.64450220601272
5,-75.63871335656471,-75.63908341861033,-75.64229244149209,-75.64777760072901,-75.64866866251815,-75.64078544651368,-75.64988095270294,-75.64330473601179,-75.64969841677868,-75.64946216077703
6,-75.63905996835621,-75.63868129837377,-75.64526001883884,-75.64904320941554,-75.63838596090652,-75.6472607242222,-75.64181394199613,-75.64391172609344,-75.64941796887491,-75.64821731060198
7,-75.64426686346273,-75.64312769423395,-75.64871694090347,-75.64678228121889,-75.64978532399543,-75.6414095462063,-75.64640226023808,-75.64416268485245,-75.6469831421167,-75.64816459509818
8,-75.64273077604858,-75.64385721746332,-75.64261318925165,-75.64098605511612,-75.64635511454628,-75.64372948174628,-75.64477220375859,-75.64403531997726,-75.64733581530979,-75.64615799711784
9,-75.6476190657134,-75.64587153227104,-75.64848849858565,-75.65234559915038,-75.64582090712875,-75.64704773187201,-75.64692539458834,-75.6461838153355,-75.64813188397618,-75.6462647331062
