,0,1,2,3,4,5,6,7,8,9
0,-75.52022714094451,-75.5210888668831,-75.56132304389001,-75.55615105085379,-75.56403339360305,-75.56502001120995,-75.5663315757475,-75.5675142251847,-75.56761219819104,-75.56856393279332
1,-75.52109237883508,-75.52020112428706,-75.55682361605041,-75.5591230008423,-75.56513000228203,-75.56280531126045,-75.5674956613968,-75.57027163560025,-75.5687764802399,-75.56842033015299
2,-75.51599743697781,-75.57825230966117,-75.5640584237616,-75.56022699689353,-75.56784991075433,-75.57180526355742,-75.56702207930606,-75.5677695137005,-75.57014788233437,-75.5692869201066
3,-75.55639677504742,-75.56324699516244,-75.56487152217348,-75.57532692887511,-75.56793323832889,-75.56928901421976,-75.5676680887137,-75.56807495869943,-75.56702460398398,-75.56833018569468
4,-75.5582061937633,-75.57603061292625,-75.54922970972814,-75.56717599022964,-75.5700342212526,-75.56937208265276,-75.57341005387677,-75.56776890636782,-75.5688206046418,-75.5642933914122
5,-75.56508822845647,-75.56744543420436,-75.57245090736116,-75.56766554297353,-75.57147727764409,-75.56388438187037,-75.5665681143314,-75.56787415675178,-75.56805748770148,-75.56798189346787
6,-75.56637401192788,-75.56464008858296,-75.56865807068147,-75.56643854307376,-75.56335197663583,-75.56939937368712,-75.5648093157194,-75.56838717902349,-75.56808287113799,-75.56779293342562
7,-75.56716902728014,-75.56350826144961,-75.56998264832006,-75.56829818814586,-75.56653103011094,-75.56734774663893,-75.56388240001372,-75.56801088457148,-75.56868257956411,-75.56803756688727
8,-75.56759158419193,-75.56835947374464,-75.56956271256581,-75.57629486684884,-75.56738542756001,-75.56874849024167,-75.56771378626507,-75.56809990614823,-75.56781856195947,-75.56798416043816
9,-75.56644287171345,-75.56741543140903,-75.56820740641022,-75.56840097223537,-75.56786805897347,-75.56793948397042,-75.56820036077833,-75.56822614027328,-75.56827177768955,-75.56799391201376
