,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-29.19607894747314,-29.217236037648846,-29.22664952710974,-29.231094179521904,-29.233315418433623,-29.234249057133706,-29.23485719047039,-29.234752502331443,-29.234508402609475,-29.234332383467382,-29.234154077957253,-29.234064820425942,-29.234031608392122,-29.234036421528177,-29.234067852066403,-29.234123691995563,-29.234100299089405,-29.23420783563583,-29.234193272012167,-29.23423064101276,-29.234181260978925,-29.23415853059387,-29.2341166098094,-29.2340985358494
1,-29.232839355421778,-29.24488501053034,-29.237180619854403,-29.234500649771228,-29.235407641388438,-29.23494166873205,-29.23460186352371,-29.2343895842536,-29.234851851640805,-29.233292447191197,-29.233912414680756,-29.234007744182865,-29.234035778165904,-29.234030619077927,-29.233993366658627,-29.23408447713968,-29.234179452149295,-29.234145361914383,-29.2341421908895,-29.234037557805767,-29.234323723531578,-29.233964904274746,-29.234069373058098,-29.23409067252897
2,-29.232150080875616,-29.267919000065096,-29.232898379160513,-29.231692683879213,-29.23394282574787,-29.234089251738222,-29.23427368709609,-29.234225641109433,-29.234197883773884,-29.23416123400215,-29.234156518648266,-29.234161035298893,-29.234168730138467,-29.234170653965013,-29.234165740283764,-29.234161648292485,-29.234160427249545,-29.234159871851276,-29.234162063466385,-29.23416067098867,-29.234160996777238,-29.234159321819337,-29.234159353617077,-29.234158915448926
3,-29.235492332267235,-29.23287803833089,-29.231931355664138,-29.232591396676707,-29.234123813642892,-29.233843718554173,-29.234233998518796,-29.234031358695034,-29.23435519667547,-29.234155679560516,-29.234158873285587,-29.234133648960842,-29.23417082325213,-29.234169077217206,-29.2341953201621,-29.23415981850395,-29.23415936608645,-29.234160306391953,-29.234161178193883,-29.23416093014291,-29.234160719376124,-29.234159352955864,-29.2341593239204,-29.234159093130067
4,-29.23482959149881,-29.231699057486356,-29.232581783246452,-29.234023918869116,-29.234389040896627,-29.234324351841945,-29.23421236005956,-29.234329395425522,-29.234721526079372,-29.23416229212769,-29.234166343384906,-29.234164072793348,-29.234165122298148,-29.234163833915435,-29.234163307580644,-29.234159455724086,-29.234159795241133,-29.23416072399316,-29.234161020961274,-29.23416124885689,-29.234163270730104,-29.23415871134493,-29.234159042773303,-29.23415905650697
5,-29.235061609520454,-29.233884363826174,-29.234090890683,-29.234506462584516,-29.234119666639543,-29.23413777431142,-29.234176307525708,-29.234172679742088,-29.234172570446244,-29.2341677621786,-29.234166693186385,-29.23416501840582,-29.2341646036357,-29.234163066188998,-29.234163922563905,-29.234161687144578,-29.234161958481817,-29.234160935927076,-29.23416083457534,-29.234159937610027,-29.234160187550046,-29.234159302305986,-29.234159057888156,-29.234159043667056
6,-29.234650302482002,-29.234042768494163,-29.233966082592804,-29.23429105047699,-29.23413772556856,-29.23410762219168,-29.234173301358943,-29.234172567014692,-29.23417268234141,-29.234165887630294,-29.23417034254568,-29.234163643566017,-29.234157595400998,-29.234165036231097,-29.23414569455449,-29.234161904505964,-29.234161720366178,-29.234160693407585,-29.23416113629646,-29.234160167295258,-29.234160005462453,-29.234158482325267,-29.234158591837495,-29.234158236981568
7,-29.234361523579892,-29.234174038978594,-29.23419208282568,-29.234194562437608,-29.234174570989893,-29.234173005706506,-29.234172722722345,-29.23417343110531,-29.23417966439015,-29.23415451695686,-29.23415739424848,-29.234162191485314,-29.23416393783157,-29.234168908973103,-29.23416301190462,-29.23416059947782,-29.234165074801133,-29.234159441888046,-29.234165991528517,-29.234158715481513,-29.23416221522173,-29.23415595285936,-29.234157569182173,-29.234155601310995
8,-29.234285806280056,-29.234188407475695,-29.234194974536866,-29.234192410544935,-29.234172777840467,-29.234172654616057,-29.2341730334527,-29.234166116757972,-29.23416381305781,-29.234157679090494,-29.23415333318167,-29.234159061197676,-29.234153149594075,-29.234153681894362,-29.234155942348742,-29.23416440857974,-29.234155201205756,-29.234156747805557,-29.23414523321746,-29.23415538864328,-29.23415545427652,-29.234158552874884,-29.234156859386314,-29.234159870734473
9,-29.234269028047,-29.234192590163993,-29.234189911230388,-29.234184492679823,-29.234172662099944,-29.234172781045796,-29.234176616174025,-29.234163770824093,-29.234171434729305,-29.23416154573314,-29.2341596514247,-29.234157677559747,-29.23415365544146,-29.234153060911467,-29.234154228405,-29.23415524139327,-29.23415630008705,-29.234154830215854,-29.234151205289695,-29.234152014624613,-29.23415050751232,-29.234153572214854,-29.23415141392299,-29.234152070355638
