,0,1,2,3,4,5,6,7,8,9
0,-7.972110680568791,-7.978378330340583,-7.980745009897679,-7.981804390587084,-7.982365332088215,-7.982725656522962,-7.982781158735542,-7.9830930154821615,-7.982858873575499,-7.982996481199061
1,-7.983694781887845,-7.986655535707481,-7.982457792629427,-7.983577979958477,-7.983222477789802,-7.982954660315772,-7.982802940057104,-7.9829251128878305,-7.982907679569758,-7.983050794152645
2,-7.98644362025805,-7.98260144651888,-7.983143716503621,-7.983732261899309,-7.982825970298213,-7.9826097599576435,-7.982921133653896,-7.98294544285665,-7.98294456178144,-7.983003687221868
3,-7.982979092258359,-7.982481661234263,-7.980065020484227,-7.9821617018158255,-7.982664931883281,-7.982752088125859,-7.982949464006077,-7.982913117280585,-7.983072004105655,-7.982954812128505
4,-7.983117726927665,-7.982972698111106,-7.9821592254151295,-7.983085616581313,-7.983129910782079,-7.9829323502533365,-7.983068269304901,-7.983024482667359,-7.983017435380254,-7.983075944757865
5,-7.983492376332695,-7.982808447040035,-7.982661901607947,-7.983126525847425,-7.982840012871931,-7.9833050798656275,-7.982989929721076,-7.982929564992743,-7.983027858966924,-7.98301084152492
6,-7.98293127416819,-7.982612457104174,-7.982744655582099,-7.9829069297694675,-7.983486928492226,-7.982715755800435,-7.982941780745211,-7.982962363475125,-7.983004523416811,-7.983012505825563
7,-7.981999330896664,-7.982887444478746,-7.982918957197646,-7.982980601480556,-7.982979561047773,-7.982940636094169,-7.982953823255376,-7.982984605551132,-7.9830162536069675,-7.982992194219245
8,-7.983073042356726,-7.982912923228998,-7.982861515895776,-7.983028053827107,-7.982929365923245,-7.9829595797743576,-7.983007604967269,-7.983073747057334,-7.983006929210593,-7.9830029659574455
9,-7.983264300900569,-7.982964670327426,-7.983005751368499,-7.9830659431233,-7.982997361506096,-7.9829981529594445,-7.983005573935886,-7.9829978984836965,-7.983005266678469,-7.983034030437556
