,0,1,2,3,4,5,6,7,8,9
0,-7.884682618903419,-7.8960118034432725,-7.918407758470639,-7.930787467411335,-7.946570806112122,-7.971954305997681,-7.894803220536284,-7.902434265138799,-7.919547750206868,-7.940222366926854
1,-7.90350461493157,-7.875074139258089,-7.909169950261732,-7.9221736000849585,-7.955288210183312,-7.9329816341166195,-7.93351818542396,-7.9135000038245575,-7.934252900858112,-7.929235493231476
2,-7.875022878139732,-7.9298594316197,-7.843130288272183,-7.901851701896169,-7.935271685018115,-7.9405740353536665,-7.908373221756146,-7.9570355936951955,-7.977908200044321,-7.922931083907894
3,-7.926339804620702,-7.955060420121798,-7.9093776816948855,-7.9045165764748155,-7.956099722701238,-7.938812669007096,-7.956160679043138,-7.948413972799437,-7.943691435432923,-7.944991897276564
4,-7.911991901824608,-7.897426678886271,-7.904506419351747,-7.908965035020352,-7.94235006476898,-7.94664877879087,-7.951770422311863,-7.94035715347589,-7.944626172694844,-7.9439585541818145
5,-7.959817606837737,-7.938248783142259,-7.945788434059048,-7.940536680437008,-7.954447923968496,-7.95312954990783,-7.951198346572275,-7.945835333901157,-7.943121688391422,-7.940148752534897
6,-7.977935868448959,-7.957560346049394,-7.937918282773167,-7.9434493529069,-7.9445024261636075,-7.955117754582187,-7.948523681844659,-7.964966207077224,-7.941541004164321,-7.942631697653243
7,-7.9595808166619815,-7.958505045302228,-7.950341124803739,-7.948211187256934,-7.948236868945813,-7.9471678491336775,-7.945560469922287,-7.944870598575948,-7.9446532898402165,-7.943824295811026
8,-7.958958352152552,-7.959739633808189,-7.9461544206233485,-7.948236394441451,-7.948211776739689,-7.950577455303616,-7.944711175987705,-7.944551596446644,-7.944922714176152,-7.93866193789056
9,-7.959431752510184,-7.957852292051768,-7.949342691796583,-7.947517544343876,-7.949070493539461,-7.947323753583531,-7.94457408194451,-7.9447229682719795,-7.946340221299698,-7.941159541175988
