,0,1,2,3,4
0,2.4790463288613756e-09,3.821380773363865e-09,4.493633618985214e-09,1.7985472666737223e-08,1.9678624951779966e-08
1,3.063516564338897e-05,1.6940992590974702e-06,1.2977058876373349e-06,6.359369653097247e-07,6.666801670718314e-07
2,1.4138858761114648e-05,1.2280410691900556e-05,2.2849775405120454e-08,5.205212509906687e-07,4.7427469240801656e-07
3,1.2618880518289188e-07,5.01923027584894e-07,3.3736544580165173e-07,5.753286628262799e-05,3.574482301260673e-06
4,5.448001978436423e-07,1.4802381667067266e-06,6.97302487751017e-07,7.590865445550321e-06,6.023409806488189e-07
