,0
0,-3.2921844238271616
1,-7.990840251758894
2,-8.004087003635536
3,-8.001108614093441
4,-8.000719837409003
5,-8.000729256472447
6,-8.000667478180388
7,-8.00073131815608
8,-8.000744871665303
9,-8.000749442105644
