,0
0,-6.8912607268297466
1,-7.914712752914043
2,-7.9337375835165895
3,-7.930522202300656
4,-7.941977082480633
5,-7.93569548493418
6,-7.945907186027231
7,-7.946415655980481
8,-7.946677097593428
9,-7.956608776553937
