,0,1
0,-37.33615304,-30.09326512
1,-49.09211922,0
2,-49.20454031,-0.121668714
3,-49.24342693,-0.075615696
4,-49.20929207,-0.126810038
5,-49.19603554,-0.10721995
6,-49.21328269,-0.003426934
7,-49.13876045,8.02E-16
8,-49.15142414,0.66475031
9,-49.62811832,-2.17E-16
10,-49.24940352,0
11,-61.06217484,77.57968302
12,-49.01272382,1.57E-15
13,-49.00354085,5.02E-18
14,-47.34781774,-7.48E-16
15,-49.14571417,1.54E-16
16,-48.70479214,9.42E-16
17,-50.68175212,-9.83E-17
18,-49.31366896,-1.84E-15
19,-51.48820392,-6.47E-17
