,0,1
0,-20.05817667,-29.44487102
1,-49.19364036,0
2,-49.22980659,-0.001602374
3,-49.22591556,0
4,-49.24189379,-0.000171234
5,-49.23090983,0
6,-49.24533425,-6.50E-05
7,-49.24410589,0.001447489
8,-49.24670566,-0.000162453
9,-49.24619583,-0.000140563
10,-49.24713025,-0.000327631
11,-49.24713794,-0.000295948
12,-49.24712451,-0.000318975
13,-49.24713327,-0.000242458
14,-49.2470938,-0.000285959
15,-49.24714451,-0.000262055
16,-49.24708475,-0.000265487
17,-49.24714148,-0.000279068
18,-49.24715102,-0.001433786
19,-49.24849782,0
20,-48.96544934,1.74E-15
21,-9.90E+15,2.37E+34
22,-49.05051783,-2.80E-15
23,-49.2439537,-1.24E-15
24,-25.58638896,-1.44E-15
25,-49.0520129,-2.14E-06
26,-25.57492571,3.17E-15
27,-49.03809396,9.52E-16
28,-25.57492579,-1.82E-15
29,-49.03809365,2.53E-15
30,-25.57492579,1.07E-16
31,-49.03809365,-6.61E-16
32,-25.57492579,1.54E-15
33,-49.03809365,6.66E-16
34,-25.57492579,2.09E-15
35,-49.03809365,1.64E-15
36,-25.57492579,2.08E-15
37,-49.03809365,4.19E-15
38,-25.57492579,2.00E-15
39,-49.03809365,-3.89E-15
40,-25.57492579,5.17E-16
41,-49.03809365,1.93E-15
42,-25.57492579,3.07E-15
43,-49.03809365,3.13E-15
44,-25.57492579,-3.20E-15
45,-49.03809365,2.91E-15
46,-25.57492579,-1.25E-15
47,-49.03809365,-4.05E-15
