,0
0,-7.123123111975689
1,-7.899847539928448
2,-7.918719583507011
3,-7.901853911375102
4,-7.945742454916401
5,-7.919884503620743
6,-7.964783461263764
7,-7.947730441829485
8,-7.9744953932388345
9,-7.967397359535282
