,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,-100.13840490000001,-100.13836265504034,-100.13837829888787,-100.13837808455173,-100.13836744282196,-100.13836883328365,-100.13836919054226,-100.13836959482329,-100.13836976233155,-100.13836980482994,-100.13836973246895,-100.13837007368377,-100.13836989319927,-100.13836982042722,-100.1383698145127,-100.13836979513303,-100.13836979828329,-100.13836979120283,-100.13836979784836,-100.13836987195451,-100.13836977925065,-100.13836978853527,-100.13836980097734,-100.13836979888137,-100.1383698101721
11,-100.1383439,-100.13837140765077,-100.13837390626273,-100.13837320764284,-100.13836953989497,-100.13837001320658,-100.13836958368124,-100.138370282094,-100.13836979969966,-100.13836972887762,-100.13837025281727,-100.13836978081464,-100.13836982629725,-100.13836981339612,-100.13836982163792,-100.13836979837933,-100.13836979632278,-100.13836979414313,-100.13836978415881,-100.1383698165944,-100.13836979126222,-100.13836977539668,-100.1383697989581,-100.13836980063313,-100.13836981093473
12,-100.13839399999999,-100.13837349917452,-100.13837342065376,-100.138374256192,-100.13836988926741,-100.1383697349195,-100.13836974232076,-100.13836979423685,-100.1383698676628,-100.13837007823957,-100.13836977786157,-100.13836982914587,-100.13836981755952,-100.13836983105777,-100.13836977993806,-100.13836979098357,-100.13836979425069,-100.1383697955743,-100.13836980141836,-100.13836980527824,-100.13836980801287,-100.13836980945644,-100.13836981581294,-100.13836981473202,-100.13836981284217
13,-100.1383593,-100.13837341726496,-100.13837350487812,-100.13837213812549,-100.13836959407321,-100.138369742166,-100.13836973319222,-100.13836966423989,-100.13837003879124,-100.13836988650853,-100.1383698261175,-100.13836981739736,-100.1383698393242,-100.13836980404959,-100.13836979155035,-100.13836980343201,-100.13836976409897,-100.13836980432083,-100.13836980827242,-100.138369860106,-100.13836981059859,-100.13836980748036,-100.13836981483551,-100.13836981687369,-100.13836981421717
14,-100.13838309999998,-100.13837226201373,-100.13836983410019,-100.13836464979418,-100.13836986017249,-100.13836979264755,-100.1383696539127,-100.13836976972351,-100.1383697440695,-100.13836982075222,-100.13836981319677,-100.13836983070131,-100.1383698036216,-100.13836979277328,-100.13836979554583,-100.13836976925099,-100.13836982250876,-100.13836980724028,-100.13836979689209,-100.13836981305286,-100.1383698221932,-100.13836978723417,-100.13836981333955,-100.1383698143746,-100.13836981522572
15,-100.1383632,-100.13837141828908,-100.13835111990791,-100.13836862952321,-100.1383697712304,-100.13836982912986,-100.13836996358995,-100.13836974350075,-100.13836976463378,-100.13836981452572,-100.13836982211834,-100.13836977776467,-100.13836979161123,-100.13836979551917,-100.13836978880862,-100.13836980554746,-100.13836980761684,-100.13836981045168,-100.13836981104785,-100.13836985111259,-100.13836980287446,-100.13836984431441,-100.13836981719511,-100.13836980914839,-100.13836979210558
16,-100.1383772,-100.13837068091604,-100.13837000882097,-100.13836956406487,-100.13836996532311,-100.13836988602432,-100.13836984932502,-100.13836981634404,-100.13836981146795,-100.1383697940925,-100.13836979840174,-100.13836979094414,-100.13836980157055,-100.13836977096537,-100.13836980538396,-100.13836980776453,-100.1383698025568,-100.13836981106292,-100.13836981041567,-100.13836979960753,-100.13836965797695,-100.13836982131865,-100.1383698230103,-100.13836980119575,-100.13836980664995
17,-100.13836500000001,-100.13837030925927,-100.13836859558818,-100.13836973616334,-100.13836986482583,-100.13837022634033,-100.1383697647486,-100.13836981013417,-100.13836981738925,-100.13836979824754,-100.13836979595266,-100.13836979423283,-100.13836976364972,-100.13836981858132,-100.13836980759956,-100.13836980155538,-100.13836981148872,-100.1383697733117,-100.1383698026852,-100.13836981474829,-100.13836981717901,-100.13836982316526,-100.13836982085978,-100.1383698108631,-100.13836980941171
18,-100.1383744,-100.13837002045454,-100.13836992414635,-100.13836981486538,-100.13836979796594,-100.13836972486396,-100.1383698455487,-100.13836978802638,-100.13836977020688,-100.13836979124662,-100.13836979414769,-100.1383697954054,-100.13836980441363,-100.1383698072516,-100.13836981025239,-100.13836981107316,-100.13836974440432,-100.13836980294236,-100.13836979026368,-100.13836981728284,-100.13836981297854,-100.13836980629529,-100.13836981324309,-100.13836980880357,-100.13836981105344
19,-100.13836620000001,-100.13836994701987,-100.13837042784809,-100.13836978806765,-100.13836983071275,-100.13836977493538,-100.13836977032895,-100.13836977611687,-100.138369782335,-100.13836979772596,-100.13836978449945,-100.13836980133091,-100.13836980817463,-100.13836979793915,-100.13836981104474,-100.13836981018686,-100.13836980262568,-100.13836978686692,-100.13836981852987,-100.13836982526932,-100.13836980654231,-100.13836981056365,-100.13836981124497,-100.13836981423341,-100.13836986966058
20,-100.1383731,-100.1383698623077,-100.1383698245223,-100.13836970679469,-100.13836973846587,-100.13836976935467,-100.13836977298455,-100.13836976569152,-100.13836970767628,-100.13836987040906,-100.13836981637475,-100.13836980524526,-100.13836985348998,-100.13836981294978,-100.13836986082843,-100.13836979964543,-100.13836981425716,-100.13836981732435,-100.13836982510124,-100.13836981220896,-100.13836981335893,-100.13836981125166,-100.13836981063281,-100.13836980668127,-100.13836979706886
21,-100.138367,-100.13836983596491,-100.1383698858209,-100.13836974281203,-100.13836963887145,-100.13836978499683,-100.1383697452392,-100.13836980742659,-100.13836980780033,-100.13836977861074,-100.13836979135763,-100.13836980797716,-100.13836981062113,-100.1383698218646,-100.13836980249776,-100.13836970045021,-100.13836981716778,-100.13836981124958,-100.13836980657459,-100.13836981335763,-100.13836981252378,-100.13836981445552,-100.13836980694103,-100.1383698668509,-100.13836981624074
22,-100.1383723,-100.13836978118812,-100.13836979268292,-100.13836978259543,-100.13836979454744,-100.13836981631147,-100.1383699378898,-100.13836980779924,-100.13836980742998,-100.13836978843236,-100.13836977419109,-100.13836980943894,-100.1383698074222,-100.13836978665638,-100.13836984299724,-100.13836982113699,-100.13836982319073,-100.13836980647744,-100.13836980982816,-100.13836981125756,-100.1383698144485,-100.13836981150236,-100.13836979868354,-100.13836981642464,-100.13836983550598
23,-100.1383675,-100.13836979565218,-100.13836978760331,-100.13836978740459,-100.13836976259543,-100.13836964354829,-100.13836984461804,-100.13836974801934,-100.13836978501561,-100.13836980030385,-100.13836979898285,-100.13836981569388,-100.1383698148246,-100.13836981332115,-100.13836981722577,-100.13836982298561,-100.13836982056407,-100.13836981320117,-100.13836981123956,-100.13836981009796,-100.13836980694397,-100.13836979854912,-100.13836987401741,-100.13836977439021,-100.13836962878806
24,-100.13837190000001,-100.13836977764706,-100.13836978740743,-100.13836978759693,-100.13837139996785,-100.13836977538465,-100.13836980622568,-100.13836979643648,-100.1383696246123,-100.13836979894917,-100.13836980014942,-100.13836981474182,-100.13836981643657,-100.13836981436418,-100.1383698089814,-100.13836980107364,-100.13836981090824,-100.13836980876164,-100.13836981416078,-100.13836980680286,-100.13836982240335,-100.13836981667482,-100.13836977415498,-100.13836972589495,-100.13836981235976
