,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,-100.06321209999999,-100.06316292124858,-100.06368278949003,-100.06232882739013,-100.06229571463274,-100.06234858062982,-100.06249979071184,-100.06244000045082,-100.06243751723748,-100.06242292427578,-100.06243258710302,-100.06242882664007,-100.06242861118102,-100.06242812311947,-100.06242792203011,-100.06242955116598,-100.06242952691336,-100.0624281995757,-100.06242950680559,-100.06242969879439,-100.06242935328372,-100.06242952511269,-100.06242929957706,-100.06242942545288,-100.06242942471526
11,-100.062828,-100.06262149627702,-100.06126004849064,-100.06246256273455,-100.06240487323025,-100.06241988939635,-100.06243751704457,-100.06243639675898,-100.06246823455405,-100.06243256512704,-100.0624300457669,-100.0624286188864,-100.06242886463149,-100.062427913512,-100.06242808695829,-100.06242995966065,-100.06242916654607,-100.06242954863953,-100.06242966288552,-100.06242960831142,-100.06242939061715,-100.06242932694062,-100.06242902850929,-100.06242942470932,-100.06242942543624
12,-100.0626937,-100.06306377111115,-100.06212708983391,-100.06236900258948,-100.06241561551656,-100.06266040750012,-100.06243648122249,-100.06243794344047,-100.06243104531198,-100.06242879390024,-100.06242861186361,-100.06240552798396,-100.06242801364479,-100.06242840226102,-100.06242928922843,-100.06243149064836,-100.06243007311025,-100.06242969404883,-100.06242961450566,-100.06242998167994,-100.06242945441355,-100.06242946378828,-100.0624294860248,-100.06242946006904,-100.06242936810085
13,-100.0624829,-100.0624009685112,-100.06228445446195,-100.06251980388473,-100.0624288217395,-100.0624327811959,-100.06243287187556,-100.06243245839461,-100.06242797865892,-100.06242860573234,-100.0624288222711,-100.06242800698533,-100.06242875238624,-100.06243006824882,-100.06243559539284,-100.06242951642217,-100.06242886768116,-100.0624293668836,-100.06242942844142,-100.06242946668272,-100.06242946246239,-100.06242944540301,-100.06242947372657,-100.06242947794708,-100.06242952073482
14,-100.0624239,-100.06287402359638,-100.06233657491626,-100.06240364537712,-100.06243176921865,-100.06243287403888,-100.06243279900723,-100.06243295517802,-100.06242864896818,-100.06242816924197,-100.06242790651164,-100.06242838974435,-100.06243004763681,-100.06247721143492,-100.06243024355774,-100.06242898548817,-100.06242923599686,-100.062429456288,-100.0624296491743,-100.06242946290973,-100.0624294657674,-100.06242947069791,-100.06242948203779,-100.0624294716032,-100.06242938927534
15,-100.06235600000001,-100.06236598027638,-100.06236438617452,-100.06248671288873,-100.06243259645757,-100.06243258518522,-100.0624329654636,-100.06243273884573,-100.06242587466136,-100.06242792003101,-100.06242811555965,-100.06242926204891,-100.06243530861737,-100.06243022309914,-100.06242920235674,-100.062429329927,-100.06242954249788,-100.06242954081821,-100.06242948313705,-100.06242947398874,-100.06242947220004,-100.06242945738245,-100.06242946633931,-100.06242945807936,-100.06242949186516
16,-100.0623677,-100.06236460943396,-100.06236587550205,-100.06241829052456,-100.06243258502708,-100.06243259656434,-100.0624319990818,-100.06242992581122,-100.06242952239911,-100.06242955197493,-100.06242996234903,-100.06243153713562,-100.06242949267622,-100.06242897981932,-100.06242932961446,-100.06242500523896,-100.06242954082228,-100.0624295425136,-100.06242947293252,-100.06242947120701,-100.06242947374555,-100.06242946699474,-100.06242946296562,-100.06242947111357,-100.06242950452697
17,-100.0623635,-100.06236721404959,-100.06235580748839,-100.06244586656837,-100.06243144801748,-100.06243046498177,-100.06243838593447,-100.06242950064343,-100.0624295497481,-100.06242951946707,-100.06242916889623,-100.06243007640688,-100.06242888018484,-100.06242922954755,-100.06242953934591,-100.0624295404785,-100.06242936701967,-100.06242947916965,-100.06242947142462,-100.06242947283576,-100.06242948327204,-100.06242971879881,-100.06242947638673,-100.06242940892827,-100.06242951499443
18,-100.06239559999999,-100.062404227668,-100.06054353974795,-100.06242323986085,-100.0624309007925,-100.06243194784844,-100.06242622364407,-100.06242955581529,-100.06242949031022,-100.06242782546386,-100.06242954007895,-100.0624296950871,-100.06242936429535,-100.06242945838548,-100.06242954047654,-100.06242953935298,-100.06242947902642,-100.06242947266848,-100.06242947715197,-100.06243034287992,-100.06242955791708,-100.0624294915089,-100.06242949205804,-100.06242953131168,-100.06242947052154
19,-100.06240240000001,-100.0623930453038,-100.06247538223222,-100.06243489421136,-100.06242990365986,-100.06242975190979,-100.06242877089532,-100.06242994657754,-100.06242902711931,-100.06242951021437,-100.06242965687204,-100.06242961242056,-100.06242942792151,-100.06242962720783,-100.0624294841245,-100.06242947276148,-100.06242947143797,-100.0624294770834,-100.06242945600347,-100.06242956143215,-100.06242697856193,-100.06242949205485,-100.06242949148056,-100.06242950168583,-100.06242949985676
20,-100.0624273,-100.0624268098425,-100.06244785392332,-100.06242376766204,-100.06242976838361,-100.06242994741152,-100.06242921288366,-100.06243155705461,-100.06243002847546,-100.06242969740417,-100.062429608686,-100.06242981324274,-100.06242946615544,-100.06242946282751,-100.06242947399909,-100.06242947129644,-100.06242947268655,-100.06242999462539,-100.06242955974938,-100.06242947176162,-100.06242949539254,-100.06242950317697,-100.06242950077208,-100.06242950021192,-100.06242950287901
21,-100.0624268,-100.06242728214286,-100.06243987708714,-100.06243222153738,-100.06242926159419,-100.06242940158836,-100.06242945976607,-100.06242938247189,-100.06242929729382,-100.06242935364058,-100.06242939094427,-100.06242945484661,-100.06242946247153,-100.06242946543226,-100.06242947220788,-100.06242947375459,-100.06242948466875,-100.06242955664916,-100.0624313042505,-100.06242949527406,-100.0624295069477,-100.06242950097615,-100.06242949997952,-100.06242950088686,-100.06242949505057
22,-100.06244029999999,-100.06243543744075,-100.0624368954313,-100.06242097688802,-100.06242944315514,-100.06242952333963,-100.06242942141631,-100.06243073818474,-100.06242933285607,-100.06242951622175,-100.06242932745508,-100.06242946371898,-100.06242944704954,-100.0624294705936,-100.06242945535476,-100.06242946700235,-100.06242965932259,-100.06242949256173,-100.06242949194024,-100.06242950304126,-100.06242950094465,-100.06242950020112,-100.06242950116463,-100.0624295056909,-100.06242949613299
23,-100.0624327,-100.06243642348993,-100.06243597298969,-100.0624318459283,-100.0624294991433,-100.06242945226172,-100.06242935692123,-100.06242937465926,-100.06242936202345,-100.06242929884719,-100.06242900637292,-100.06242948575479,-100.06242947363032,-100.06242948226878,-100.06242946620779,-100.06242946263085,-100.0624294765293,-100.0624294919439,-100.06242949252895,-100.06242950075968,-100.06242949997807,-100.06242950111643,-100.06242953841279,-100.06242949717294,-100.06242948611546
24,-100.06244000000001,-100.06243574514286,-100.06243709234424,-100.06242095354548,-100.06242917055366,-100.06242914241996,-100.06242937639172,-100.06242936731978,-100.06242937226973,-100.06242942690001,-100.06242942466815,-100.0624294602337,-100.0624294778701,-100.06242947144304,-100.0624294582184,-100.0624294707765,-100.06242939683196,-100.06242953076588,-100.06242950155534,-100.06242950021597,-100.06242950086832,-100.06242950526754,-100.06242949711387,-100.06242949172594,-100.06242949398617
