,0,1
0,-55.09684683,-62.79741992
1,-99.98741377,0
2,-99.98851278,0
3,-100.0344646,0
4,-100.0388796,-4.57E-22
5,-100.0507459,0
6,-100.0479067,-8.75E-16
7,-100.0428575,1.99E-15
8,-100.0408136,0
9,-100.0232439,-5.97E-16
10,-100.0233871,2.92E-16
11,-100.0236358,6.16E-16
12,-100.0315468,-4.49E-11
13,-100.0342633,1.21E-16
14,-100.0116155,-4.45E-15
15,-100.0398733,3.11E-15
16,-100.0395259,7.03E-15
17,-100.0373089,7.09E-16
18,-100.0846364,0.082860509
19,-100.0279213,8.43E-16
