,0,1,2,3,4,5,6,7,8,9
0,-75.55085145889255,-75.57094138718408,-75.59543177023777,-75.5974084755019,-75.60112434340475,-75.6021262794999,-75.60301526775106,-75.60345197461325,-75.60380492293415,-75.60393415445502
1,-75.57280014139158,-75.4587212944602,-75.5975820727432,-75.59318438550478,-75.60249620695548,-75.61000939803182,-75.60387366178647,-75.60529201078776,-75.60400880745641,-75.60358003669265
2,-75.39710578416069,-75.600439340695,-75.60192127442441,-75.60338375815941,-75.60382133451549,-75.60410012356768,-75.60436554791013,-75.60422917287336,-75.60430715565015,-75.60432370567625
3,-75.59758431999782,-75.60191659341604,-75.60609783573676,-75.60397213452836,-75.60430765189787,-75.6919348655399,-75.6042552612698,-75.60428121504076,-75.60432678223111,-75.60429394055241
4,-75.59144207861888,-75.60337587240308,-75.60397092262724,-75.60416629054791,-75.60321210884985,-75.6044620580185,-75.6042891892818,-75.6046613339606,-75.6036339825314,-75.60442754717884
5,-75.60252395425377,-75.60381408359731,-75.60430786662711,-75.6031821054165,-75.60428132837666,-75.60431045559528,-75.60431554249763,-75.60369022263471,-75.60489965328273,-75.60468545063553
6,-75.60786935622862,-75.60409720372704,-75.62269583020304,-75.60446095565064,-75.60431043395344,-75.60431688006207,-75.60430930171985,-75.60440641708239,-75.60468712322587,-75.60483303966497
7,-75.60389270335229,-75.60435688074509,-75.60425380565574,-75.60428874281574,-75.60431553251917,-75.60430927158764,-75.60425369805375,-75.6042190921923,-75.60398012150358,-75.60372189818102
8,-75.60516028716867,-75.60423196001169,-75.60427993560631,-75.6046337860759,-75.60322242856701,-75.604406414874,-75.60421908051065,-75.60427070800932,-75.60307303193953,-75.61993511475593
9,-75.60401133754362,-75.60430381942392,-75.60432931251643,-75.60306245438129,-75.6047890507823,-75.60464963990991,-75.60397981835986,-75.603066710644,-75.59826931217655,-75.59603608254302
