,0,1,2,3,4,5,6,7,8,9
0,-75.50474667990224,-75.44828996403875,-75.53029115147103,-75.51177831134761,-75.52228048339468,-75.53728969158786,-75.52817302707965,-75.53975983371363,-75.53926547726414,-75.53711428546454
1,-75.45597576378685,-75.48167859391071,-75.51519387443624,-75.51847624516205,-75.48737391543494,-75.53161467145867,-75.53327801080552,-75.53928566736367,-75.53990741789703,-75.53872501241341
2,-75.4805515549505,-75.52956849170138,-75.51998811518844,-75.51314319644321,-75.5256769081489,-75.53409984855456,-75.52909143987841,-75.53778654430607,-75.53879174395419,-75.53922840680927
3,-75.5151638065052,-75.51994384450276,-75.5259808091349,-75.53920618107114,-75.5410506009827,-75.54600486450997,-75.54228187738498,-75.54248660174778,-75.54129832463161,-75.54084762203588
4,-75.5183334174047,-75.51316221160633,-75.53899555166947,-75.5411866448377,-75.5374179803669,-75.54341720535896,-75.5424731174241,-75.54230522571719,-75.54027609484253,-75.54184907659588
5,-75.49945445659351,-75.52497820563038,-75.54101771676596,-75.53657424638897,-75.54379753197384,-75.54279699694328,-75.5454848613746,-75.52230889369622,-75.54692930033471,-75.53704209465651
6,-75.53150033859328,-75.5342548246992,-75.54584574012648,-75.54339164404911,-75.54277832562347,-75.53864509365941,-75.5334594415066,-75.55193353220102,-75.66394358835977,-75.53515130229702
7,-75.53323282480616,-75.52833667632254,-75.54235695064003,-75.54246254271914,-75.54523305179914,-75.53343001748371,-75.53956398326572,-75.46456987377633,-75.54118764508782,-75.53402827376543
8,-75.53934861932888,-75.53771791922877,-75.54246669061502,-75.54236436655447,-75.51911729368689,-75.55128751411472,-75.45987374603152,-75.53150528268104,-75.53497164335514,-75.53607839913062
9,-75.53933858548244,-75.53879271419981,-75.54131858977154,-75.54017097691384,-75.5470426419161,-75.62284401471003,-75.54083875724021,-75.53495991451052,-75.53717341558381,-75.56445611942506
