,0,1,2,3,4,5,6,7,8,9
0,-75.50499496764866,-75.47314967146625,-75.53684738196519,-75.52333707153406,-75.53461072647225,-75.54095768199167,-75.53870711446991,-75.54477107297005,-75.54412699328394,-75.54476268413713
1,-75.4759511196046,-75.4943622871921,-75.52570394722947,-75.52948036752471,-75.54914406957676,-75.53929599499921,-75.54034873324575,-75.54418878718513,-75.54444693783643,-75.5438055347822
2,-75.49298941372743,-75.53479358856826,-75.53268934934013,-75.50993646051461,-75.53718099081485,-75.54151995497962,-75.52790099931671,-75.54471623440794,-75.54401352097176,-75.54478313438881
3,-75.52563796540551,-75.53268574665518,-75.53443018623392,-75.54384828855997,-75.54625749171483,-75.54838094517098,-75.54692649766993,-75.54713520364649,-75.54642222343375,-75.54629994605126
4,-75.52927191921772,-75.50946098900859,-75.54374422143668,-75.5468035046172,-75.55228047828874,-75.54739351097889,-75.54710727925107,-75.54696221104031,-75.54626500068063,-75.54645539725946
5,-75.55328740677832,-75.53679200805036,-75.54621293036536,-75.55195566438721,-75.54775923046721,-75.54716104866937,-75.54757634423146,-75.5438524899528,-75.5493317326457,-75.54462170722887
6,-75.53925423843944,-75.54170944067667,-75.5483268432235,-75.54737559482693,-75.54715485949528,-75.54265890497477,-75.54574000543998,-75.55157606638954,-75.53478417041781,-75.54321652617976
7,-75.54030314322206,-75.52277850074645,-75.54695568498589,-75.54710513446835,-75.54753175187861,-75.54573710546535,-75.54430687406231,-75.54171678684192,-75.5439246609246,-75.54393090403082
8,-75.54419639929459,-75.54470821200113,-75.54712458814133,-75.5469808275286,-75.54349878064302,-75.55120486105048,-75.54170726052399,-75.54307256375155,-75.54393091744878,-75.5439246114566
9,-75.54440582673068,-75.5440390456139,-75.5464345991776,-75.54625396837928,-75.54941597840951,-75.53203565806507,-75.54391449700884,-75.54392714237001,-75.55519129111107,-75.5452822283795
