,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-5.131035563,-7.953092307861459,-5.716450773657531,-7.825893990659515,-5.830462630407689,-7.936685404810505,-5.8679966875242275,-5.5293242438858625,-5.884652075216981,-6.055222178509907,-5.893513432689002,-5.460163209963745,-5.898823715095842,-6.105625783266331,-5.902281427641392,-7.159113040863731,-5.904674122996656,-4.097325717644974,-5.906408412082031,-6.322871161086998
1,-7.887329113999998,-7.9297667318711085,-7.937050280183156,-7.941353049213866,-7.9440871572504195,-7.946275820286993,-7.947853374626285,-7.949267414808175,-7.948654853036538,-7.948286788281088,-7.947693419895137,-7.949040385944339,-7.948254021960054,-7.948662872291615,-7.9480272731006565,-7.947750352316307,-7.9476285079122295,-7.947608368099541,-7.947671450341744,-7.947833420804847
2,-7.928801439999999,-7.939506824886069,-7.942220808296105,-7.968650928441534,-7.940622412495315,-7.946124422840095,-7.94943136424131,-7.9495618778759995,-7.947055781893432,-7.948325936147716,-7.9460633348620915,-7.947559481855719,-7.937020858155142,-7.946589291741194,-7.947241568725405,-7.947494313138997,-7.9476039230220525,-7.947623406547683,-7.947547895141286,-7.947166144346773
3,-7.93654433,-7.965846825311107,-7.950167763722027,-7.943289736434838,-7.94944624372496,-7.948622585341269,-7.949607509688407,-7.948612753027397,-7.947113025679225,-7.949210090250084,-7.94820507899154,-7.9510078977768055,-7.948338778384446,-7.949112093845683,-7.9486427917756215,-7.948821932027928,-7.9490497213516464,-7.948622517463593,-7.948855158896609,-7.9489065303505075
4,-7.940815460000004,-7.947917108598766,-7.945970105356723,-7.9360151371173355,-7.943812357715365,-7.946813661659061,-7.9475746364506055,-7.948612250423379,-7.949059585608492,-7.9488978916616695,-7.948065082476128,-7.94887748957122,-7.94864279305006,-7.94871656387057,-7.948889340906212,-7.948760776343916,-7.949054234512365,-7.949141534228369,-7.948899834193629,-7.948871849682138
5,-7.9433798030000045,-7.9572955762404876,-7.953020448172861,-7.942688820751522,-7.947737090471981,-7.950219725566518,-7.947096184928565,-7.94988093746677,-7.947002309547102,-7.948438936615087,-7.947874892455989,-7.94852029715762,-7.94868863111156,-7.948605082481593,-7.949273529419913,-7.949786391814443,-7.948824712517011,-7.949691685904795,-7.94882138318508,-7.948874388731003
6,-7.945207273999975,-7.94749773275149,-7.948424545882951,-7.946648171657754,-7.948656184706933,-7.947462837453353,-7.952076712531435,-7.947634069451692,-7.948319935037716,-7.947712930192655,-7.948688584304658,-7.948810034161732,-7.949072929371858,-7.949027937428969,-7.9493515098820415,-7.949024240368927,-7.949211243025555,-7.94918891242831,-7.949175049679119,-7.949276124454654
7,-7.9464738789998455,-7.948545687412031,-7.9268801259658,-7.947368102345274,-7.947824889995177,-7.948784010903941,-7.949919529298505,-7.948709102654646,-7.948792114347597,-7.949436146395152,-7.94919610664585,-7.9492738368085005,-7.949023988979399,-7.949064048073024,-7.94938126177117,-7.949197797320699,-7.949329914622212,-7.9491743093928475,-7.949187100703469,-7.949287596940777
8,-7.947403390000002,-7.948367474963236,-7.9491243264493985,-7.948280850634224,-7.948973061657105,-7.9488478404112595,-7.948599688937566,-7.948798157757761,-7.948681224568337,-7.949205966715184,-7.949170812552678,-7.949157498124607,-7.949215172858656,-7.949192642914044,-7.949226405725136,-7.949244648018009,-7.949348549692397,-7.949320873196543,-7.94923807630757,-7.949230930077302
9,-7.948064027,-7.948407084814791,-7.947787157168832,-7.948568487863336,-7.948887945944776,-7.948122121549438,-7.948760358204756,-7.948254826662498,-7.9486553438230265,-7.949388216948863,-7.948924464763412,-7.948207350230559,-7.949186693569755,-7.9492041670222315,-7.949176165427191,-7.949271844493622,-7.949241812073277,-7.9493627683517705,-7.94922755318996,-7.949235031420657
