,0,1
0,-4.348905424665007,-5.022452482881165
1,-8.006427905652377,0.0
2,-8.017420699467179,-0.003586531888723975
3,-8.014773525491279,-9.492976888647836e-05
4,-8.014353394162448,-1.1468565304560904e-14
5,-8.014384440670641,-4.2123717688404644e-07
6,-8.014378957270852,-3.354595890543158e-16
7,-8.014403630863027,3.045179101001492e-05
8,-8.014399409438731,5.630997086695625e-16
9,-8.014416891461579,-2.0871683188777885e-06
10,-8.014412512194982,-9.13327465933953e-12
11,-8.01441268320026,-7.063022511213124e-10
12,-8.01441233398378,-4.584668164513061e-15
13,-8.014412707716286,-8.983998143829567e-10
14,-8.014412589857587,-5.378556320320872e-11
15,-8.014412514035023,-1.2064471885589557e-08
16,-8.014415363476493,-1.6798097119212633e-11
17,-8.014413258144572,-5.734859176774465e-07
18,-8.014458049247503,-1.1665041366543586e-12
19,-8.014442946156612,-9.095839267710843e-08
