,0,1,2,3,4,5,6,7,8,9
0,-100.10559605929262,-100.10469016564183,-100.11541686962978,-100.11598652327794,-100.11803306630007,-100.11800331690432,-100.11859483707015,-100.11848472682115,-100.11865567712192,-100.11857762807323
1,-100.10469378431759,-100.10552549115918,-100.11601847789338,-100.1151971204931,-100.11800374318567,-100.11803164170331,-100.11850200746562,-100.11855169906626,-100.11860209290671,-100.11861046914767
2,-100.10443452991976,-100.11662511804872,-100.11888042335539,-100.11845427463324,-100.11872570820796,-100.1186619367271,-100.11864040246193,-100.11861995319563,-100.11861445699633,-100.11860911000974
3,-100.11602668336707,-100.11884014601026,-100.11847068550797,-100.1186120591441,-100.11867009093172,-100.11862765501256,-100.11885040691412,-100.11861150662713,-100.11862764924791,-100.11860291660192
4,-100.11496514910439,-100.11845709547603,-100.11860693421846,-100.11867267902522,-100.11865307744583,-100.1177314591468,-100.11859487088468,-100.11859237066083,-100.11859002432641,-100.11859324465244
5,-100.11800351086946,-100.1187218666257,-100.11866992235892,-100.11865257059488,-100.11854002756886,-100.11861844289945,-100.11859240196668,-100.11857963020685,-100.11859143248729,-100.11859370149047
6,-100.11800816245751,-100.11866257793861,-100.11862548506548,-100.1176371859152,-100.1186181987032,-100.1185984534036,-100.11859015443417,-100.11859145934746,-100.11859237045137,-100.11859359590599
7,-100.11850095319026,-100.1186405291969,-100.11891585382804,-100.11859289303612,-100.11859247316161,-100.11859011160328,-100.11859241739496,-100.11859386451059,-100.11859364499765,-100.11859700747988
8,-100.11854905683427,-100.11862007366918,-100.11861139631343,-100.11859247243001,-100.11859299417327,-100.11859146797407,-100.11859384752273,-100.11859365750543,-100.11859382238023,-100.11859426392205
9,-100.11860165822313,-100.11861446231778,-100.11862831258719,-100.11859002160865,-100.11859146167924,-100.11859201962768,-100.11859364686813,-100.11859381142054,-100.11859436671207,-100.11859409421528
