,0,1,2,3,4,5,6,7,8,9
0,-99.98547479867662,-99.98843695698649,-100.03494866993498,-100.03848244382725,-100.05276928408091,-100.04636725166355,-100.04323014841808,-100.03448427555622,-100.02801404734731,-100.02496083940639
1,-99.98846799768663,-99.98527298946357,-100.03877329757258,-100.03378626241182,-100.04834916330559,-100.0402128072629,-100.04812391359607,-100.00953367242657,-100.0222379362641,-100.0237256444233
2,-99.98302672065219,-100.0492899883609,-100.06244085046063,-100.05156447747503,-100.04595573628136,-100.05173015980415,-100.06734589184629,-100.02502606092729,-100.02461699531473,-100.02187816330579
3,-100.03884254931755,-100.06234990350903,-100.05448736994748,-100.01834419761191,-100.03088195524677,-100.00691517885255,-100.03929051107367,-100.02460168803763,-100.02501702560293,-100.07452704359117
4,-100.03252018677392,-100.05161512621206,-100.0163389342658,-100.03127667126958,-100.02555781808556,-100.02679661647193,-100.03186166866246,-100.03298104512565,-100.03391948395328,-100.0339800912988
5,-100.04827531206557,-100.0458637952555,-100.03081513867679,-100.02519690658444,-100.02681683543692,-100.02500932027586,-100.03364320685289,-100.0364105655715,-100.03398380761281,-100.03394263253384
6,-100.03946780466974,-100.05159929057226,-100.00726463645128,-100.02678213744134,-100.02415928620532,-100.03413640190858,-100.03488260167104,-100.03433519580861,-100.0338637319676,-100.03401592551053
7,-100.04843237972496,-100.06601536621282,-100.03918308138574,-100.03182443211597,-100.03366432960345,-100.03487743994447,-100.03445888658219,-100.03304669734963,-100.03661437825144,-100.03286442481318
8,-100.00724897810545,-100.02565159363287,-100.02432338387396,-100.03296374054065,-100.03625482810817,-100.034340973805,-100.03298616554561,-100.03775662783093,-100.0311622073364,-100.03291035382433
9,-100.0222766868497,-100.0244496819985,-100.02557130457265,-100.0339019673043,-100.0339838074644,-100.03386012517859,-100.03670751261646,-100.03104293303407,-100.03301315219008,-100.03314745085055
