Distance,MP4,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,92.72679236,132.292007,134.0965876,93.21998772,30.60512683,87.82866617
1.5,92.53409899,98.5294833,98.6848689,92.99878801,103.0915861,103.1530933
2,91.11254041,101.4739224,101.802601,91.80747826,103.3868514,101.5954956
2.6,97.32665491,116.0266354,116.9524426,98.6035896,108.976299,105.8573133
3,108.3377365,127.3678218,128.59317,110.240149,123.1985299,124.4269671
