Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,99.99745817,100.0000163,99.99995846,99.98774698,99.98051733,99.99968361
1.5,99.98233433,100.0053779,99.75608089,100.0213775,99.75608092,
2,100.332733,99.93129828,99.88523019,99.22072856,98.4964871,
2.6,101.6173147,108.989755,101.3359252,106.2653046,100.7523512,100.7740433
3,44.17860091,138.07606,108.3877554,113.5559109,108.3669386,25.06644656
