Distance,MP16,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,97.74742478,98.00161655,98.01772228,97.58236999,97.73213599,97.72773344
1.5,99.78747364,100.0077248,100.6492204,99.74405052,,99.80673749
2,99.78887731,99.89488935,99.87798115,99.99884869,100.0583046,99.90987205
2.6,102.1266451,99.32652974,99.90539643,99.36802986,101.269886,
3,75.48149071,100.9253733,99.94231598,97.7382269,98.99590519,
