Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,97.73734552,97.747657,97.76146524,97.75632473,97.77089662,97.76883992
1.5,95.04135021,95.04073316,95.04018387,95.03769672,95.0363987,95.04134442
2,90.05413974,90.05480398,90.05413314,90.05258989,90.0505214,90.05489351
2.6,86.59889406,86.61426671,86.62964084,86.62635162,86.64073137,86.63697675
3,88.59911947,108.8052299,88.67547509,88.65495108,88.70759329,88.70262372
