Distance,MP6,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,96.20320004,96.85480056,97.32528885,96.58546268,95.26470112,90.16407034
1.5,98.20397866,100.0272541,100.1444377,97.79470049,97.65752341,100.1833277
2,98.99506336,101.7500804,101.2229626,96.77228091,95.98822252,101.4354439
2.6,105.7611995,189.305432,98.93176394,97.2233982,97.65760291,105.7361445
3,106.7526855,51.98294611,93.7436301,99.09196499,101.3122077,106.2140819
