Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel
1,100,100,99.99846716,99.99999558,99.99945939
1.5,100.0014169,99.999989,99.9934809,100.0000124,90.82934438
2,100.0287282,99.99999896,99.99998969,100.0000685,100.0044362
2.6,108.365027,99.99999155,100.0000007,99.97483204,100.0445137
3,-1827.684734,100.000234,100.0000052,100.3623464,100.2663175
