Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,23.56432768,22.73158843,24.79013931,23.75392867,24.34070701,24.12811116
1.5,98.48261828,100.7850497,100.8685392,98.71107223,97.09593868,101.0849992
2,98.34130705,100.618801,95.52196728,95.93283955,93.77863598,100.1111838
2.6,98.28057894,100.6888525,109.1619826,95.18413468,94.54258202,100.0219153
3,98.26719591,100.7109736,112.1398135,95.06490589,94.2614412,100.021152
