Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,97.41498877,99.58958101,99.67274491,100.499336,101.8425344,101.1776404
1.5,94.39954518,97.8460787,100.8855913,101.4936411,101.508456,99.72752831
2,86.49994546,95.76960818,96.1670957,88.77272363,92.64174349,68.26722983
2.6,73.51382909,-8225.431722,36.68925259,64.3680514,16.84858615,84.46299777
3,81.01321906,32.34884364,32.24915139,84.70803282,-262.8511181,45.9990631
