Distance,MP3,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,83.48313669,83.63362632,85.88954878,83.81855613,87.62279473,89.64817643
1.5,84.18203035,84.37346592,93.5533629,84.66690563,103.5538817,103.0689941
2,80.90844593,81.13360532,91.53789168,81.50241794,102.0244441,99.45831024
2.6,83.86103602,84.17804876,99.02590782,84.75217103,109.5293855,101.9680705
3,92.93413428,93.3784934,115.3029685,94.2552436,122.5021767,109.482533
