Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,21.88411803,23.50987293,23.5434446,21.97888605,24.44806358,24.10906761
1.5,91.7183458,99.46015276,99.67756272,92.27446777,104.1040441,104.4416109
2,91.19257465,99.09225994,99.32314478,91.76677445,103.9462724,104.4901235
2.6,90.82646872,99.15913711,99.4116996,91.42947027,103.8779276,104.5475393
3,90.73844428,99.18721214,99.44818474,91.35411624,103.8474628,104.5560733
