Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel
1,4314.587793,22.91495053,23.3699003,105.1614608,38.14493468
1.5,100.0001133,100.0001133,99.99964666,100.0000154,100.001216
2,100.000011,100.0000107,100.0584,99.99996743,99.99962733
2.6,100,100,100.000011,99.99996875,99.97915225
3,99.99998879,99.99998883,99.99984724,99.99995761,100.0037719
