Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel,Meijer-G
1,71.77815701,72.25082746,72.73296049,72.49189412,73.23521611,72.73624427
1.5,64.17373599,64.49945742,64.83018947,64.66482349,65.17142393,64.83191208
2,60.61345567,60.98261,61.35859238,61.17060128,61.74902584,61.36095461
2.6,60.64355668,61.11727554,61.60227222,61.35977412,62.1115394,61.60621607
3,65.03156724,65.64300055,66.27201118,65.95750641,66.93944882,66.27821996
