Distance,MPn,L-Pade,Q-Pade,L-Borel,Q-Borel
1,100,100,100.000849,99.99993701,99.978291
1.5,100,99.99999772,99.99977994,100.0001227,99.99969342
2,100.0024808,99.99997089,100.0002807,100.0083561,100.1436706
2.6,107.1853023,100.6167275,99.97026528,97.27521489,61.00891496
3,-6546.596843,99.45462759,100.0053576,120.170942,-16520.17146
