0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.5,3,3.5,3.75,4,4.5
-3.769502474,-3.915234759,-4.045349815,-4.160828377,-4.263050231,-4.353638487,-4.434246627,-4.506376862,-4.571297551,-4.630041547,-4.683442534,-4.732178095,-4.922497394,-5.051345236,-5.140907885,-5.175077211,-5.203671407,-5.264153036
-7.827475884,-7.885967108,-7.925759278,-7.952195934,-7.969074318,-7.979099555,-7.984205804,-7.985784213,-7.984841732,-7.982110935,-7.978126865,-7.973281688,-7.943971299,-7.915225979,-7.890678758,-7.880064684,-7.870479471,-7.847121448
-7.867656913,-7.925301258,-7.964313719,-7.990060335,-8.006338392,-8.015845951,-8.02051282,-8.021728997,-8.020500148,-8.017555427,-8.013424535,-8.008493573,-7.979503735,-7.952133442,-7.929967621,-7.920950392,-7.913268908,-7.897737046
-7.876266538,-7.933662321,-7.972443845,-7.997986786,-8.014092814,-8.023460752,-8.028020003,-8.029159816,-8.027884718,-8.024922336,-8.020800633,-8.015903886,-7.987396585,-7.960872355,-7.939709369,-7.931189533,-7.923967535,-7.909240277
-7.87852139,-7.935810474,-7.974503981,-7.999978235,-8.016036287,-8.025377598,-8.02993151,-8.031086822,-8.029847431,-8.026940287,-8.022892654,-8.018088075,-7.990286636,-7.964846909,-7.945275224,-7.937882316,-7.932152302,-7.92591563
-7.879155936,-7.936400247,-7.975060983,-8.000512793,-8.016558818,-8.025899071,-8.030463382,-8.031640877,-8.030435662,-8.027574811,-8.023585632,-8.018851632,-7.991582161,-7.966986005,-7.948656346,-7.942082517,-7.937321175,-7.934405577
-7.879343454,-7.936569509,-7.975218544,-8.000663761,-8.016708095,-8.026051906,-8.030625543,-8.031818678,-8.03063595,-8.027804948,-8.02385347,-8.019165505,-7.992271151,-7.968378079,-7.951328912,-7.945776316,-7.942445313,-7.948383494
-7.879401851,-7.93662083,-7.975266094,-8.000709957,-8.016755166,-8.026102275,-8.030682014,-8.031884519,-8.030714944,-8.027901421,-8.023972331,-8.019312279,-7.992667017,-7.969304077,-7.953278569,-7.948517364,-7.946204809,-7.95578787
-7.879422452,-7.936638728,-7.975282946,-8.000726923,-8.01677329,-8.02612271,-8.030706156,-8.031914095,-8.030752076,-8.02794869,-8.024032833,-8.019389705,-7.992911561,-7.969959108,-7.954842909,-7.950869768,-7.949690014,-7.966000727
-7.879431364,-7.936646534,-7.975290514,-8.00073485,-8.016782104,-8.026133001,-8.030718661,-8.031929767,-8.030772143,-8.027974718,-8.024066791,-8.019434037,-7.993067555,-7.970418868,-7.956007519,-7.952625941,-7.952216177,-7.97000168
-7.879436103,-7.936650731,-7.975294664,-8.000739289,-8.016787128,-8.026138941,-8.030725938,-8.031938938,-8.030783949,-8.027990133,-8.024087084,-8.019460836,-7.993169591,-7.970745459,-7.956897861,-7.954014658,-7.95428357,-7.974028771
-7.879438953,-7.936653252,-7.975297163,-8.000741972,-8.016790176,-8.026142556,-8.030730374,-8.031944537,-8.030791173,-8.027999603,-8.024099625,-8.019477531,-7.993236954,-7.970973656,-7.957532029,-7.954974956,-7.955586442,-7.972190265
-7.879440751,-7.936654822,-7.975298707,-8.000743623,-8.016792051,-8.026144782,-8.030733114,-8.031948007,-8.030795667,-8.028005524,-8.024107514,-8.019488109,-7.993281656,-7.971131507,-7.957973374,-7.955621865,-7.956382745,-7.968317878
